"Freq [GHz]","Q_oct []"
1,3.460908561465
1.4975,4.32346778856832
1.995,4.73214346847557
2.4925,4.88214952181753
2.99,4.90920113580065
3.4875,4.88894038887615
3.985,4.85885973926487
4.4825,4.83581164690068
4.98,4.82627504477814
5.4775,4.83175994580598
5.975,4.85152777088477
6.4725,4.88392893354906
6.97,4.92704628300131
7.4675,4.97899344296723
7.965,5.03804267080921
8.4625,5.10266947904771
8.96,5.17155767466552
9.4575,5.24358664505122
9.955,5.31781172156511
10.4525,5.39344288282863
10.95,5.46982423788313
11.4475,5.546415308604
11.945,5.62277442862625
12.4425,5.69854424276647
12.94,5.7734391456456
13.4375,5.84723444711955
13.935,5.91975704650161
14.4325,5.99087741222973
14.93,6.06050268595675
15.4275,6.128570753718
15.925,6.1950451491213
16.4225,6.25991067325182
16.92,6.32316963298228
17.4175,6.38483861376779
17.915,6.44494571509861
18.4125,6.50352818692762
18.91,6.56063041390433
19.4075,6.61630220142657
19.905,6.67059732361751
20.4025,6.72357229849697
20.9,6.77528536008143
21.3975,6.82579560097766
21.895,6.87516226233458
22.3925,6.92344415094631
22.89,6.97069916579056
23.3875,7.0169839185312
23.885,7.06235343443747
24.3825,7.10686092191188
24.88,7.15055760029355
25.3775,7.19349257697458
25.875,7.23571276600842
26.3725,7.27726284142845
26.87,7.31818521942245
27.3675,7.35852006428083
27.865,7.39830531375657
28.3625,7.43757672008933
28.86,7.47636790347393
29.3575,7.51471041524017
29.855,7.5526338084092
30.3525,7.59016571365376
30.85,7.62733191900697
31.3475,7.66415645192278
31.845,7.70066166253045
32.3425,7.73686830712913
32.84,7.77279563113537
33.3375,7.80846145084621
33.835,7.84388223351626
34.3325,7.87907317534092
34.83,7.91404827703902
35.3275,7.94882041681009
35.825,7.98340142049039
36.3225,8.01780212881201
36.82,8.0520324616838
37.3175,8.08610147948305
37.815,8.12001744135522
38.3125,8.15378786055161
38.81,8.18741955685769
39.3075,8.22091870617554
39.805,8.25429088734618
40.3025,8.28754112629136
40.8,8.32067393757857
41.2975,8.3536933635046
41.795,8.38660301080205
42.2925,8.41940608507755
42.79,8.45210542308087
43.2875,8.48470352291851
43.785,8.51720257230304
44.2825,8.54960447495445
44.78,8.58191087523858
45.2775,8.61412318114648
45.775,8.64624258570807
46.2725,8.67827008692108
46.77,8.71020650629196
47.2675,8.74205250606374
47.765,8.77380860520738
48.2625,8.8054751942617
48.76,8.83705254907819
49.2575,8.86854084355207
49.755,8.89994016139416
50.2525,8.93125050700941
50.75,8.96247181553436
51.2475,8.99360396209517
51.745,9.02464677032921
52.2425,9.05560002022403
