"Freq [GHz]","Q_square []"
1,4.03329348886302
1.4975,5.24531266278114
1.995,5.92278959367932
2.4925,6.21744380264448
2.99,6.27666619777291
3.4875,6.20729044940137
3.985,6.07664580947001
4.4825,5.92387570908526
4.98,5.77042134968159
5.4775,5.62728987846837
5.975,5.49956122102331
6.4725,5.38904234344215
6.97,5.29579054615163
7.4675,5.21897459291184
7.965,5.15735539475797
8.4625,5.10954993344283
8.96,5.07417222418108
9.4575,5.04990483995367
9.955,5.03553153546852
10.4525,5.02994841312175
10.95,5.03216359288693
11.4475,5.04129105799256
11.945,5.05654187830156
12.4425,5.0772145877795
12.94,5.10268566980911
13.4375,5.13240063142768
13.935,5.16586587875782
14.4325,5.20264145612283
14.93,5.24233463087386
15.4275,5.28459426570996
15.925,5.32910590296717
16.4225,5.37558748091105
16.92,5.42378560449421
17.4175,5.47347229889121
17.915,5.52444218135366
18.4125,5.57650999450831
18.91,5.62950845144244
19.4075,5.68328634960062
19.905,5.73770691646927
20.4025,5.79264635524617
20.9,5.84799256326272
21.3975,5.90364399981884
21.895,5.9595086834716
22.3925,6.01550330167956
22.89,6.07155241816027
23.3875,6.12758776539396
23.885,6.18354761150419
24.3825,6.23937619223299
24.88,6.29502320003396
25.3775,6.35044332340299
25.875,6.40559583049389
26.3725,6.46044419187969
26.87,6.51495573799287
27.3675,6.5691013473722
27.865,6.6228551623465
28.3625,6.676194329205
28.86,6.7290987603007
29.3575,6.7815509158172
29.855,6.83353560324413
30.3525,6.885039792809
30.85,6.93605244735017
31.3475,6.98656436526888
31.845,7.03656803537019
32.3425,7.08605750252954
32.84,7.13502824324394
33.3375,7.18347705022159
33.835,7.2314019252622
34.3325,7.27880197975334
34.83,7.32567734217702
35.3275,7.37202907208032
35.825,7.41785908001961
36.3225,7.46317005303768
36.82,7.50796538525946
37.3175,7.55224911324817
37.815,7.59602585578406
38.3125,7.63930075775949
38.81,7.68207943790765
39.3075,7.72436794011243
39.805,7.76617268805771
40.3025,7.80750044300047
40.8,7.84835826446315
41.2975,7.88875347366154
41.795,7.92869361949004
42.2925,7.96818644690932
42.79,8.00723986757755
43.2875,8.04586193259425
43.785,8.08406080722085
44.2825,8.12184474745321
44.78,8.1592220783418
45.2775,8.19620117393836
45.775,8.23279043878044
46.2725,8.26899829081286
46.77,8.30483314566007
47.2675,8.34030340216179
47.765,8.37541742909995
48.2625,8.4101835530381
48.76,8.44461004720615
49.2575,8.47870512135898
49.755,8.51247691255805
50.2525,8.54593347680667
50.75,8.57908278149042
51.2475,8.61193269856977
51.745,8.64449099847154
52.2425,8.67676534464108
52.74,8.70876328870438
53.2375,8.74049226620226
53.735,8.77195959285844
54.2325,8.80317246134299
54.73,8.83413793849827
55.2275,8.86486296299479
55.725,8.89535434338601
56.2225,8.92561875653265
56.72,8.95566274637154
57.2175,8.98549272300036
57.715,9.01511496205798
58.2125,9.04453560437517
58.71,9.07376065587368
59.2075,9.10279598769793
59.705,9.13164733655642
60.2025,9.16032030525614
60.7,9.18882036341541
61.1975,9.21715284833706
61.695,9.24532296603165
62.1925,9.27333579236819
62.69,9.30119627435358
63.1875,9.32890923151409
63.685,9.35647935737962
64.1825,9.38391122105156
